44 ,0,1:39.642
5 ,1.641 ,1:41.283
77 ,2.784 ,1:42.426
6 ,3.373 ,1:43.015
7 ,4.332 ,1:43.974
8 ,5.197 ,1:44.839
13 ,5.589 ,1:45.231
27 ,5.970 ,1:45.612
14 ,6.825 ,1:46.467
55 ,7.310 ,1:46.952
9 ,7.840 ,1:47.482
22 ,8.798 ,1:48.440
12 ,9.315 ,1:48.957
33 ,9.791 ,1:49.433
28 ,11.099 ,1:50.741
26 ,11.723 ,1:51.365
53 ,12.578 ,1:52.220
11 ,PIT  ,1:55.775
3 ,PIT  ,2:38.696
44 ,0,1:39.660
5 ,2.230 ,1:40.249
19 ,PIT  ,3:22.315
77 ,3.717 ,1:40.593
6 ,4.761 ,1:41.048
7 ,5.677 ,1:41.005
8 ,6.906 ,1:41.369
13 ,7.707 ,1:41.778
27 ,8.549 ,1:42.239
14 ,9.554 ,1:42.389
55 ,9.909 ,1:42.259
9 ,10.804 ,1:42.624
22 ,11.854 ,1:42.716
12 ,12.451 ,1:42.796
33 ,12.753 ,1:42.622
26 ,13.964 ,1:41.901
28 ,16.514 ,1:45.075
53 ,17.998 ,1:45.080
11 ,37.788 ,2:01.315
3 ,81.383 ,2:01.989
44 ,0,1:39.630
5 ,2.461 ,1:39.861
77 ,4.387 ,1:40.300
6 ,5.626 ,1:40.495
7 ,6.763 ,1:40.716
8 ,8.314 ,1:41.038
13 ,9.100 ,1:41.023
27 ,10.045 ,1:41.126
14 ,12.207 ,1:42.283
55 ,12.765 ,1:42.486
9 ,13.401 ,1:42.227
22 ,15.673 ,1:43.449
12 ,16.085 ,1:43.264
33 ,16.173 ,1:43.050
26 ,16.843 ,1:42.509
28 ,21.644 ,1:44.760
53 ,22.967 ,1:44.599
19 ,1 LAP ,2:10.139
11 ,38.431 ,1:40.273
3 ,82.411 ,1:40.658
44 ,0,1:39.822
5 ,2.527 ,1:39.888
77 ,4.945 ,1:40.380
6 ,5.574 ,1:39.770
7 ,7.645 ,1:40.704
8 ,9.384 ,1:40.892
13 ,10.715 ,1:41.437
27 ,11.345 ,1:41.122
14 ,15.295 ,1:42.910
55 ,15.585 ,1:42.642
9 ,16.279 ,1:42.700
