5 ,0,1:36.916
7 ,1.514 ,1:38.430
6 ,2.400 ,1:39.316
33 ,3.158 ,1:40.074
19 ,4.108 ,1:41.024
44 ,4.373 ,1:41.289
55 ,5.149 ,1:42.065
27 ,6.518 ,1:43.434
3 ,6.860 ,1:43.776
14 ,7.631 ,1:44.547
11 ,8.163 ,1:45.079
22 ,8.593 ,1:45.509
30 ,9.339 ,1:46.255
94 ,10.062 ,1:46.978
9 ,10.636 ,1:47.552
12 ,11.156 ,1:48.072
77 ,11.413 ,1:48.329
8 ,12.463 ,1:49.379
88 ,13.066 ,1:49.982
21 ,16.403 ,1:53.319
20 ,PIT  ,3:00.423
5 ,0,1:31.664
7 ,1.741 ,1:31.891
6 ,2.773 ,1:32.037
33 ,3.819 ,1:32.325
19 ,5.371 ,1:32.927
44 ,6.110 ,1:33.401
55 ,7.015 ,1:33.530
27 ,8.770 ,1:33.916
3 ,9.466 ,1:34.270
14 ,10.754 ,1:34.787
11 ,11.514 ,1:35.015
22 ,12.071 ,1:35.142
30 ,12.965 ,1:35.290
94 ,13.788 ,1:35.390
9 ,14.274 ,1:35.302
12 ,14.807 ,1:35.315
77 ,15.185 ,1:35.436
8 ,16.487 ,1:35.688
88 ,17.295 ,1:35.893
21 ,27.858 ,1:43.119
5 ,0,1:32.167
7 ,1.915 ,1:32.341
6 ,3.353 ,1:32.747
33 ,4.546 ,1:32.894
20 ,1 LAP ,1:46.207
19 ,6.513 ,1:33.309
44 ,7.035 ,1:33.092
55 ,7.800 ,1:32.952
27 ,10.779 ,1:34.176
3 ,11.249 ,1:33.950
14 ,12.839 ,1:34.252
11 ,13.659 ,1:34.312
22 ,14.837 ,1:34.933
30 ,15.363 ,1:34.565
94 ,16.333 ,1:34.712
9 ,17.116 ,1:35.009
12 ,17.905 ,1:35.265
77 ,18.332 ,1:35.314
8 ,19.478 ,1:35.158
88 ,20.314 ,1:35.186
21 ,28.813 ,1:33.122
5 ,0,1:32.014
7 ,2.222 ,1:32.321
6 ,3.480 ,1:32.141
33 ,5.070 ,1:32.538
44 ,7.083 ,1:32.062
19 ,9.002 ,1:34.503
55 ,9.439 ,1:33.653
20 ,1 LAP ,1:37.229
27 ,12.893 ,1:34.128
3 ,13.149 ,1:33.914
14 ,15.132 ,1:34.307
11 ,15.867 ,1:34.222
22 ,16.804 ,1:33.981
30 ,17.391 ,1:34.042
94 ,18.428 ,1:34.109
9 ,19.293 ,1:34.191
12 ,20.321 ,1:34.430
77 ,20.602 ,1:34.284
8 ,21.908 ,1:34.444
88 ,23.037 ,1:34.737
21 ,29.797 ,1:32.998
5 ,0,1:32.273
7 ,2.088 ,1:32.139
6 ,2.782 ,1:31.575
33 ,5.317 ,1:32.520
44 ,6.439 ,1:31.629
19 ,9.848 ,1:33.119
55 ,10.538 ,1:33.372
20 ,1 LAP ,1:34.720
3 ,13.891 ,1:33.015
27 ,15.587 ,1:34.967
14 ,16.767 ,1:33.908
11 ,17.979 ,1:34.385
22 ,19.035 ,1:34.504
30 ,19.606 ,1:34.488
94 ,20.390 ,1:34.235
9 ,21.249 ,1:34.229
77 ,22.920 ,1:34.591
12 ,23.692 ,1:35.644
8 ,24.138 ,1:34.503
88 ,25.439 ,1:34.675
21 ,30.708 ,1:33.184
5 ,0,1:32.204
7 ,2.124 ,1:32.240
6 ,3.046 ,1:32.468
33 ,6.003 ,1:32.890
44 ,6.516 ,1:32.281
19 ,10.869 ,1:33.225
55 ,11.656 ,1:33.322
3 ,14.270 ,1:32.583
20 ,1 LAP ,1:35.346
27 ,17.747 ,1:34.364
14 ,18.922 ,1:34.359
11 ,19.872 ,1:34.097
22 ,21.132 ,1:34.301
30 ,21.797 ,1:34.395
94 ,22.953 ,1:34.767
9 ,23.530 ,1:34.485
77 ,24.154 ,1:33.438
12 ,26.481 ,1:34.993
8 ,26.939 ,1:35.005
88 ,28.013 ,1:34.778
21 ,31.971 ,1:33.467
5 ,0,1:32.080
7 ,2.254 ,1:32.210
6 ,3.430 ,1:32.464
33 ,7.140 ,1:33.217
44 ,7.902 ,1:33.466
19 ,12.440 ,1:33.651
55 ,13.344 ,1:33.768
3 ,14.933 ,1:32.743
27 ,19.112 ,1:33.445
14 ,21.268 ,1:34.426
11 ,22.261 ,1:34.469
22 ,23.816 ,1:34.764
30 ,24.510 ,1:34.793
94 ,26.169 ,1:35.296
9 ,26.839 ,1:35.389
77 ,27.251 ,1:35.177
20 ,1 LAP ,1:43.453
12 ,29.546 ,1:35.145
8 ,29.983 ,1:35.124
88 ,31.430 ,1:35.497
21 ,33.651 ,1:33.760
5 ,0,1:32.289
7 ,2.346 ,1:32.381
6 ,3.766 ,1:32.625
33 ,8.107 ,1:33.256
44 ,8.744 ,1:33.131
19 ,13.994 ,1:33.843
3 ,15.636 ,1:32.992
27 ,20.868 ,1:34.045
14 ,23.352 ,1:34.373
11 ,24.548 ,1:34.576
22 ,26.113 ,1:34.586
30 ,27.085 ,1:34.864
94 ,28.697 ,1:34.817
9 ,29.792 ,1:35.242
77 ,30.011 ,1:35.049
20 ,1 LAP ,1:34.917
12 ,32.549 ,1:35.292
8 ,33.214 ,1:35.520
55 ,PIT  ,1:52.689
88 ,34.865 ,1:35.724
21 ,35.405 ,1:34.043
5 ,0,1:32.578
7 ,2.496 ,1:32.728
6 ,3.745 ,1:32.557
33 ,9.122 ,1:33.593
44 ,9.787 ,1:33.621
19 ,15.941 ,1:34.525
3 ,16.177 ,1:33.119
27 ,22.164 ,1:33.874
14 ,25.121 ,1:34.347
