INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,243.6
6 ,N. ROSBERG ,243.6
19 ,F. MASSA ,241.8
11 ,S. PEREZ ,241.2
12 ,F. NASR ,240.3
5 ,S. VETTEL ,240.2
27 ,N. HULKENBERG ,239.7
44 ,L. HAMILTON ,239.5
13 ,P. MALDONADO ,238.8
7 ,K. RAIKKONEN ,238.6
26 ,D. KVYAT ,238.4
3 ,D. RICCIARDO ,236.6
8 ,R. GROSJEAN ,236.6
9 ,M. ERICSSON ,234.8
33 ,M. VERSTAPPEN ,232.8
28 ,W. STEVENS ,232.3
55 ,C. SAINZ ,230.3
14 ,F. ALONSO ,230.0
98 ,R. MERHI ,228.3
NO ,DRIVER ,KPH
6 ,N. ROSBERG ,257.8
26 ,D. KVYAT ,253.0
13 ,P. MALDONADO ,252.8
77 ,V. BOTTAS ,252.6
5 ,S. VETTEL ,251.2
3 ,D. RICCIARDO ,251.1
44 ,L. HAMILTON ,250.8
11 ,S. PEREZ ,250.7
9 ,M. ERICSSON ,250.2
33 ,M. VERSTAPPEN ,250.1
27 ,N. HULKENBERG ,249.8
7 ,K. RAIKKONEN ,249.7
55 ,C. SAINZ ,248.3
8 ,R. GROSJEAN ,247.5
12 ,F. NASR ,246.9
19 ,F. MASSA ,246.5
98 ,R. MERHI ,243.9
14 ,F. ALONSO ,242.9
28 ,W. STEVENS ,240.6
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,298.4
44 ,L. HAMILTON ,297.3
13 ,P. MALDONADO ,297.1
19 ,F. MASSA ,296.8
11 ,S. PEREZ ,296.1
6 ,N. ROSBERG ,295.9
7 ,K. RAIKKONEN ,295.7
5 ,S. VETTEL ,294.8
12 ,F. NASR ,293.6
27 ,N. HULKENBERG ,292.7
9 ,M. ERICSSON ,292.6
26 ,D. KVYAT ,291.4
8 ,R. GROSJEAN ,290.4
3 ,D. RICCIARDO ,289.5
14 ,F. ALONSO ,288.0
33 ,M. VERSTAPPEN ,284.3
55 ,C. SAINZ ,283.0
28 ,W. STEVENS ,282.8
98 ,R. MERHI ,280.9
