LAP,TIME,LAP_2,TIME_2,NO,DRIVER
11 ,1:34.852 ,40 ,1:33.622 ,8 ,R. GROSJEAN
12 ,1:35.313 ,41 ,1:32.934 ,8 ,R. GROSJEAN
13 ,1:35.105 ,42 ,1:33.207 ,8 ,R. GROSJEAN
14 ,1:34.235 ,43 ,1:33.480 ,8 ,R. GROSJEAN
15 ,1:34.554 ,44 ,1:33.048 ,8 ,R. GROSJEAN
16 ,1:34.143 ,45 ,1:33.132 ,8 ,R. GROSJEAN
17 ,1:51.293 ,46 ,1:33.041 ,8 ,R. GROSJEAN
18 ,20:41.349 ,47 ,1:32.941 ,8 ,R. GROSJEAN
19 ,2:14.540 ,48 ,1:32.862 ,8 ,R. GROSJEAN
20 ,1:33.798 ,49 ,1:32.923 ,8 ,R. GROSJEAN
21 ,1:33.110 ,50 ,1:32.959 ,8 ,R. GROSJEAN
22 ,1:33.265 ,51 ,1:32.896 ,8 ,R. GROSJEAN
23 ,1:33.321 ,52 ,1:33.126 ,8 ,R. GROSJEAN
24 ,1:33.492 ,53 ,1:33.218 ,8 ,R. GROSJEAN
25 ,1:34.096 ,54 ,1:33.602 ,8 ,R. GROSJEAN
26 ,1:33.427 ,55 ,1:33.468 ,8 ,R. GROSJEAN
27 ,1:33.796 ,56 ,1:33.493 ,8 ,R. GROSJEAN
28 ,1:33.454 ,57 ,1:34.073 ,8 ,R. GROSJEAN
29 ,1:33.448,"","" ,8 ,R. GROSJEAN
1 ,16:09:00 ,20 ,1:37.106 ,9 ,M. ERICSSON
2 ,1:35.302 ,21 ,1:34.526 ,9 ,M. ERICSSON
