LAP,TIME,LAP_2,TIME_2,NO,DRIVER
2 ,1:35.290 ,31 ,1:33.439 ,30 ,J. PALMER
3 ,1:34.565 ,32 ,1:34.458 ,30 ,J. PALMER
4 ,1:34.042 ,33 ,1:33.537 ,30 ,J. PALMER
5 ,1:34.488 ,34 ,1:33.862 ,30 ,J. PALMER
6 ,1:34.395 ,35 ,1:34.022 ,30 ,J. PALMER
7 ,1:34.793 ,36 ,1:34.111 ,30 ,J. PALMER
8 ,1:34.864 ,37 ,1:33.451 ,30 ,J. PALMER
9 ,1:34.757 ,38 ,1:33.948 ,30 ,J. PALMER
10 ,1:34.842 ,39 ,1:33.052 ,30 ,J. PALMER
11 ,1:34.779 ,40 ,1:33.508 ,30 ,J. PALMER
12 ,1:57.100 ,41 ,1:33.285 ,30 ,J. PALMER
13 ,1:39.352 ,42 ,1:35.350 ,30 ,J. PALMER
14 ,1:32.955 ,43 ,1:33.414 ,30 ,J. PALMER
15 ,1:33.238 ,44 ,1:33.634 ,30 ,J. PALMER
16 ,1:33.452 ,45 ,1:33.174 ,30 ,J. PALMER
17 ,1:59.456 ,46 ,1:33.149 ,30 ,J. PALMER
18 ,20:23.356 ,47 ,1:33.269 ,30 ,J. PALMER
19 ,2:10.486 ,48 ,1:33.186 ,30 ,J. PALMER
20 ,1:34.522 ,49 ,1:33.303 ,30 ,J. PALMER
21 ,1:33.921 ,50 ,1:33.203 ,30 ,J. PALMER
22 ,1:33.760 ,51 ,1:33.171 ,30 ,J. PALMER
23 ,1:33.549 ,52 ,1:33.215 ,30 ,J. PALMER
24 ,1:33.628 ,53 ,1:33.240 ,30 ,J. PALMER
25 ,1:33.697 ,54 ,1:33.184 ,30 ,J. PALMER
26 ,1:33.637 ,55 ,1:33.247 ,30 ,J. PALMER
27 ,1:33.960 ,56 ,1:33.131 ,30 ,J. PALMER
28 ,1:33.499 ,57 ,1:33.692 ,30 ,J. PALMER
29 ,1:33.526,"","" ,30 ,J. PALMER
1 ,16:08:53 ,30 ,1:32.357 ,33 ,M. VERSTAPPEN
2 ,1:32.325 ,31 ,1:32.952 ,33 ,M. VERSTAPPEN
3 ,1:32.894 ,32 ,1:58.684 ,33 ,M. VERSTAPPEN
4 ,1:32.538 ,33 ,1:36.923 ,33 ,M. VERSTAPPEN
5 ,1:32.520 ,34 ,1:32.614 ,33 ,M. VERSTAPPEN
6 ,1:32.890 ,35 ,1:32.342 ,33 ,M. VERSTAPPEN
7 ,1:33.217 ,36 ,1:32.603 ,33 ,M. VERSTAPPEN
8 ,1:33.256 ,37 ,1:33.349 ,33 ,M. VERSTAPPEN
9 ,1:33.593 ,38 ,1:33.900 ,33 ,M. VERSTAPPEN
10 ,1:33.900 ,39 ,1:33.182 ,33 ,M. VERSTAPPEN
11 ,1:33.847 ,40 ,1:33.637 ,33 ,M. VERSTAPPEN
12 ,1:34.698 ,41 ,1:33.143 ,33 ,M. VERSTAPPEN
13 ,1:53.474 ,42 ,1:32.462 ,33 ,M. VERSTAPPEN
14 ,1:39.877 ,43 ,1:32.054 ,33 ,M. VERSTAPPEN
15 ,1:31.779 ,44 ,1:31.516 ,33 ,M. VERSTAPPEN
16 ,1:33.208 ,45 ,1:31.995 ,33 ,M. VERSTAPPEN
17 ,1:47.442 ,46 ,1:32.069 ,33 ,M. VERSTAPPEN
18 ,3:09.398 ,47 ,1:33.002 ,33 ,M. VERSTAPPEN
19 ,19:57.492 ,48 ,1:32.891 ,33 ,M. VERSTAPPEN
20 ,1:32.776 ,49 ,1:32.993 ,33 ,M. VERSTAPPEN
21 ,1:31.740 ,50 ,1:32.817 ,33 ,M. VERSTAPPEN
22 ,1:31.597 ,51 ,1:32.834 ,33 ,M. VERSTAPPEN
23 ,1:31.685 ,52 ,1:39.023 ,33 ,M. VERSTAPPEN
24 ,1:32.042 ,53 ,1:31.695 ,33 ,M. VERSTAPPEN
