22 ,52.177 ,2:01.761
14 ,56.136 ,1:58.971
98 ,56.902 ,2:01.689
28 ,60.054 ,2:02.041
44 ,0,1:56.828
6 ,7.288 ,1:56.589
5 ,12.426 ,1:57.478
3 ,25.634 ,1:57.569
11 ,26.161 ,1:57.143
7 ,PIT  ,2:02.307
8 ,33.857 ,1:56.250
77 ,35.951 ,1:56.498
26 ,39.262 ,1:56.364
19 ,40.360 ,1:56.237
33 ,44.234 ,1:56.835
55 ,2 LAPS ,1:57.546
9 ,50.975 ,1:57.650
14 ,57.982 ,1:58.674
22 ,PIT  ,2:05.341
98 ,61.915 ,2:01.841
12 ,64.342 ,2:12.149
28 ,65.396 ,2:02.170
44 ,0,1:57.073
6 ,PIT  ,2:01.136
5 ,13.570 ,1:58.217
11 ,25.350 ,1:56.262
3 ,26.723 ,1:58.162
8 ,32.450 ,1:55.666
77 ,35.443 ,1:56.565
26 ,38.477 ,1:56.288
19 ,39.553 ,1:56.266
7 ,41.101 ,2:08.635
33 ,43.075 ,1:55.914
55 ,2 LAPS ,1:57.273
9 ,51.955 ,1:58.053
14 ,59.461 ,1:58.552
12 ,64.157 ,1:56.888
98 ,67.060 ,2:02.218
28 ,70.231 ,2:01.908
22 ,76.544 ,2:12.927
44 ,PIT  ,2:01.494
5 ,10.002 ,1:57.926
6 ,18.152 ,2:08.295
11 ,20.911 ,1:57.055
3 ,22.491 ,1:57.262
8 ,27.146 ,1:56.190
77 ,30.322 ,1:56.373
26 ,33.169 ,1:56.186
19 ,34.483 ,1:56.424
7 ,36.262 ,1:56.655
33 ,38.226 ,1:56.645
55 ,2 LAPS ,1:57.051
9 ,48.649 ,1:58.188
14 ,56.609 ,1:58.642
12 ,59.330 ,1:56.667
98 ,67.577 ,2:02.011
28 ,70.456 ,2:01.719
22 ,74.080 ,1:59.030
44 ,0,2:08.998
5 ,PIT  ,2:02.971
6 ,4.102 ,1:54.948
11 ,8.666 ,1:56.753
3 ,10.528 ,1:57.035
8 ,14.315 ,1:56.167
77 ,17.902 ,1:56.578
26 ,20.933 ,1:56.762
19 ,22.172 ,1:56.687
7 ,23.577 ,1:56.313
33 ,25.413 ,1:56.185
55 ,2 LAPS ,1:57.655
9 ,37.422 ,1:57.771
14 ,45.959 ,1:58.348
12 ,47.406 ,1:57.074
98 ,60.566 ,2:01.987
28 ,63.316 ,2:01.858
22 ,63.936 ,1:58.854
44 ,0,1:54.938
6 ,3.428 ,1:54.264
11 ,10.117 ,1:56.389
3 ,12.744 ,1:57.154
8 ,15.358 ,1:55.981
5 ,17.659 ,2:08.622
26 ,22.291 ,1:56.296
19 ,23.334 ,1:56.100
77 ,PIT  ,2:00.787
7 ,24.449 ,1:55.810
33 ,26.520 ,1:56.045
55 ,2 LAPS ,1:57.040
9 ,39.999 ,1:57.515
14 ,49.170 ,1:58.149
12 ,50.094 ,1:57.626
22 ,67.707 ,1:58.709
28 ,70.744 ,2:02.366
98 ,PIT  ,2:06.602
44 ,0,1:54.679
6 ,3.413 ,1:54.664
11 ,11.749 ,1:56.311
3 ,14.396 ,1:56.331
8 ,16.192 ,1:55.513
5 ,19.108 ,1:56.128
26 ,23.869 ,1:56.257
19 ,24.730 ,1:56.075
7 ,25.757 ,1:55.987
33 ,27.669 ,1:55.828
77 ,33.305 ,2:04.233
55 ,2 LAPS ,1:57.183
9 ,43.009 ,1:57.689
14 ,52.649 ,1:58.158
12 ,53.252 ,1:57.837
22 ,71.410 ,1:58.382
28 ,PIT  ,2:06.491
98 ,91.112 ,2:13.561
44 ,0,1:54.861
6 ,3.190 ,1:54.638
11 ,13.649 ,1:56.761
3 ,15.983 ,1:56.448
8 ,16.722 ,1:55.391
5 ,20.431 ,1:56.184
26 ,25.779 ,1:56.771
19 ,26.273 ,1:56.404
7 ,27.143 ,1:56.247
33 ,29.437 ,1:56.629
77 ,35.136 ,1:56.692
55 ,2 LAPS ,1:57.172
9 ,46.602 ,1:58.454
12 ,56.044 ,1:57.653
14 ,56.809 ,1:59.021
22 ,75.767 ,1:59.218
98 ,95.664 ,1:59.413
28 ,101.350 ,2:13.655
44 ,0,1:54.827
6 ,3.284 ,1:54.921
11 ,16.118 ,1:57.296
8 ,17.713 ,1:55.818
3 ,19.236 ,1:58.080
5 ,21.612 ,1:56.008
26 ,27.498 ,1:56.546
19 ,28.550 ,1:57.104
7 ,29.168 ,1:56.852
33 ,31.015 ,1:56.405
77 ,36.676 ,1:56.367
55 ,2 LAPS ,1:57.625
9 ,49.319 ,1:57.544
12 ,58.680 ,1:57.463
14 ,60.478 ,1:58.496
22 ,79.853 ,1:58.913
98 ,100.380 ,1:59.543
28 ,105.464 ,1:58.941
44 ,0,1:55.241
6 ,3.497 ,1:55.454
11 ,18.286 ,1:57.409
8 ,18.783 ,1:56.311
3 ,20.752 ,1:56.757
5 ,22.486 ,1:56.115
26 ,28.510 ,1:56.253
19 ,29.739 ,1:56.430
7 ,30.316 ,1:56.389
33 ,32.185 ,1:56.411
77 ,37.593 ,1:56.158
55 ,2 LAPS ,1:57.053
9 ,51.348 ,1:57.270
12 ,61.034 ,1:57.595
14 ,63.567 ,1:58.330
22 ,83.957 ,1:59.345
98 ,104.809 ,1:59.670
28 ,109.504 ,1:59.281
44 ,0,1:55.751
6 ,3.482 ,1:55.736
8 ,18.801 ,1:55.769
5 ,23.083 ,1:56.348
11 ,PIT  ,2:03.737
26 ,29.692 ,1:56.933
19 ,30.642 ,1:56.654
7 ,31.446 ,1:56.881
33 ,33.226 ,1:56.792
77 ,39.028 ,1:57.186
55 ,2 LAPS ,1:57.675
9 ,53.588 ,1:57.991
12 ,68.185 ,2:02.902
14 ,PIT  ,2:07.629
22 ,PIT  ,2:12.974
98 ,125.174 ,2:16.116
28 ,131.174 ,2:17.421
44 ,0,2:17.948
6 ,3.197 ,2:17.663
8 ,PIT  ,2:23.889
5 ,27.769 ,2:22.634
26 ,38.637 ,2:26.893
19 ,PIT  ,2:29.690
7 ,PIT  ,2:29.880
33 ,PIT  ,2:29.328
11 ,50.690 ,2:42.366
77 ,PIT  ,2:32.626
55 ,2 LAPS ,2:29.555
9 ,66.595 ,2:30.955
12 ,77.169 ,2:26.932
14 ,91.182 ,2:33.685
22 ,111.735 ,2:28.503
98 ,121.296 ,2:14.070
28 ,126.042 ,2:12.816
44 ,0,2:08.694
6 ,2.279 ,2:07.776
5 ,23.124 ,2:04.049
8 ,28.366 ,2:12.318
26 ,31.863 ,2:01.920
11 ,38.955 ,1:56.959
19 ,42.699 ,2:09.009
7 ,43.904 ,2:09.220
33 ,44.949 ,2:09.037
55 ,2 LAPS ,1:58.208
9 ,54.793 ,1:56.892
77 ,54.981 ,2:09.969
12 ,65.445 ,1:56.970
14 ,78.010 ,1:55.522
22 ,99.942 ,1:56.901
98 ,112.424 ,1:59.822
44 ,0,1:55.330
6 ,2.625 ,1:55.676
28 ,1 LAP ,2:00.889
5 ,23.191 ,1:55.397
8 ,27.993 ,1:54.957
26 ,32.859 ,1:56.326
11 ,38.434 ,1:54.809
19 ,41.462 ,1:54.093
7 ,43.117 ,1:54.543
33 ,44.458 ,1:54.839
55 ,2 LAPS ,1:57.510
77 ,54.297 ,1:54.646
9 ,57.447 ,1:57.984
12 ,67.337 ,1:57.222
14 ,79.018 ,1:56.338
22 ,101.640 ,1:57.028
44 ,0,1:54.673
6 ,3.278 ,1:55.326
98 ,1 LAP ,2:01.377
28 ,1 LAP ,1:59.303
5 ,23.904 ,1:55.386
8 ,28.396 ,1:55.076
26 ,34.929 ,1:56.743
11 ,39.111 ,1:55.350
19 ,41.527 ,1:54.738
7 ,43.870 ,1:55.426
33 ,45.114 ,1:55.329
55 ,2 LAPS ,1:59.092
